	Open	High	Low	Close	Volume	TradingDate	Code
0	16550.0	16970.0	16550.0	16550.0	2811840	2018-06-04	TCB
1	16020.0	17130.0	15520.0	15520.0	1357500	2018-06-05	TCB
2	15350.0	15520.0	14710.0	14870.0	1605480	2018-06-06	TCB
3	15270.0	15900.0	15050.0	15900.0	1376540	2018-06-07	TCB
4	16320.0	17000.0	16080.0	17000.0	2008500	2018-06-08	TCB
5	16940.0	17620.0	16680.0	17620.0	1229830	2018-06-11	TCB
6	17450.0	17450.0	16630.0	16970.0	1139130	2018-06-12	TCB
7	16970.0	17450.0	16890.0	17030.0	772670	2018-06-13	TCB
8	17210.0	17210.0	16730.0	16970.0	617130	2018-06-14	TCB
9	17050.0	17050.0	16730.0	17000.0	723460	2018-06-15	TCB
10	16820.0	16970.0	15840.0	16160.0	825810	2018-06-18	TCB
11	15370.0	15680.0	15030.0	15350.0	2092720	2018-06-19	TCB
12	15350.0	15600.0	15050.0	15390.0	554870	2018-06-20	TCB
13	15420.0	15420.0	15080.0	15390.0	497790	2018-06-21	TCB
14	15370.0	15370.0	15130.0	15350.0	328710	2018-06-22	TCB
15	15520.0	15680.0	15470.0	15500.0	918340	2018-06-25	TCB
16	15260.0	15430.0	15220.0	15350.0	493790	2018-06-26	TCB
17	15110.0	15350.0	15110.0	15130.0	394860	2018-06-27	TCB
18	15030.0	15110.0	14300.0	14900.0	1319230	2018-06-28	TCB
19	14710.0	14870.0	14060.0	14820.0	1583700	2018-06-29	TCB
20	14840.0	14840.0	14060.0	14210.0	669570	2018-07-02	TCB
21	14140.0	14270.0	13220.0	13220.0	2112230	2018-07-03	TCB
22	13010.0	13090.0	12300.0	13090.0	1102650	2018-07-04	TCB
23	13990.0	13990.0	13090.0	13650.0	1583450	2018-07-05	TCB
24	13580.0	14060.0	13090.0	13960.0	1160990	2018-07-06	TCB
25	14060.0	14160.0	13500.0	13820.0	631240	2018-07-09	TCB
26	13820.0	13820.0	13340.0	13410.0	549100	2018-07-10	TCB
27	13140.0	13140.0	12490.0	12490.0	1134570	2018-07-11	TCB
28	12170.0	12610.0	12170.0	12610.0	686180	2018-07-12	TCB
29	12800.0	12850.0	12610.0	12700.0	406500	2018-07-13	TCB
30	12610.0	12700.0	12490.0	12700.0	430160	2018-07-16	TCB
31	12700.0	13340.0	12460.0	13140.0	1174520	2018-07-17	TCB
32	13340.0	13820.0	13240.0	13550.0	1139340	2018-07-18	TCB
33	13580.0	13580.0	13340.0	13530.0	680430	2018-07-19	TCB
34	13340.0	13530.0	13190.0	13530.0	1473990	2018-07-20	TCB
35	13240.0	13500.0	12900.0	12900.0	878370	2018-07-23	TCB
36	13090.0	13340.0	12750.0	12800.0	1019120	2018-07-24	TCB
37	13000.0	13020.0	12070.0	12970.0	3348190	2018-07-25	TCB
38	12610.0	12730.0	12360.0	12510.0	645430	2018-07-26	TCB
39	12510.0	12700.0	12410.0	12580.0	1427670	2018-07-27	TCB
40	12580.0	12700.0	12560.0	12660.0	1438740	2018-07-30	TCB
41	12680.0	13530.0	12610.0	13480.0	4690660	2018-07-31	TCB
42	13530.0	13890.0	13160.0	13360.0	2060620	2018-08-01	TCB
43	13240.0	13820.0	13090.0	13820.0	3507500	2018-08-02	TCB
44	13870.0	14010.0	13580.0	13750.0	2418140	2018-08-03	TCB
45	13580.0	13720.0	13480.0	13580.0	1478320	2018-08-06	TCB
46	13460.0	13670.0	13290.0	13550.0	1670400	2018-08-07	TCB
47	13650.0	13650.0	13290.0	13460.0	1406450	2018-08-08	TCB
48	13530.0	13720.0	13290.0	13290.0	2342630	2018-08-09	TCB
49	13290.0	13430.0	12800.0	13190.0	2362660	2018-08-10	TCB
50	13090.0	13410.0	13000.0	13310.0	1369550	2018-08-13	TCB
51	13340.0	13340.0	13090.0	13190.0	850440	2018-08-14	TCB
52	13090.0	13190.0	12850.0	12850.0	1030610	2018-08-15	TCB
53	12850.0	13040.0	12580.0	12850.0	1576340	2018-08-16	TCB
54	12850.0	13040.0	12850.0	12850.0	691890	2018-08-17	TCB
55	12950.0	12950.0	12560.0	12850.0	847610	2018-08-20	TCB
56	12850.0	12920.0	12730.0	12850.0	904270	2018-08-21	TCB
57	12950.0	13290.0	12870.0	12920.0	1386850	2018-08-22	TCB
58	13090.0	13160.0	12920.0	12970.0	1031560	2018-08-23	TCB
59	12970.0	13070.0	12850.0	12900.0	817010	2018-08-24	TCB
60	12900.0	13020.0	12850.0	12850.0	1480540	2018-08-27	TCB
61	12900.0	13000.0	12700.0	12730.0	1630740	2018-08-28	TCB
62	12730.0	12780.0	12660.0	12680.0	778240	2018-08-29	TCB
63	12680.0	12750.0	12630.0	12750.0	887840	2018-08-30	TCB
64	12750.0	13020.0	12750.0	12750.0	1723040	2018-08-31	TCB
65	12750.0	12900.0	12630.0	12660.0	991610	2018-09-04	TCB
66	12660.0	12730.0	12490.0	12510.0	1052150	2018-09-05	TCB
67	12510.0	12560.0	12030.0	12030.0	2694080	2018-09-06	TCB
68	12120.0	12270.0	12070.0	12240.0	2154200	2018-09-07	TCB
69	12320.0	12360.0	12120.0	12360.0	1297720	2018-09-10	TCB
70	12340.0	12360.0	12270.0	12320.0	780150	2018-09-11	TCB
71	12360.0	12390.0	12120.0	12120.0	1460210	2018-09-12	TCB
